idx,company,address,city,tax1,tax2,tax3,website,lat,lng
107,Kit Switch,"San Franciso, CA",San Franciso,Built Environment/Construction,Circular Economy,,https://tomkat.stanford.edu/innovation-transfer/kitswitch,37.77493,-122.419416
108,Lasso,"San Francisco, CA",San Francisco,IoT/IIoT,Environmental Remediation,Ag/Food-tech,https://joinlasso.com/,37.77493,-122.419416
109,PeroPure,"Zhejiang, China",Zhejiang,Enabling Technologies/Components,Water/Wave/Hydro,Environmental Remediation,https://peropure.com/,30.26555,120.1536
110,Pulsar,"Palo Alto, CA",Palo Alto,IoT/IIoT,Manufacturing,Enabling Technologies/Components,https://www.pulsarml.com/#,37.441883,-122.14302
111,ReGen Partners,"Nyack, NY",Nyack,Environmental Remediation,Finance,,https://regenerativeresources.co/,41.090652,-73.917915
112,ReMatter,"Standford, CA",Standford,IoT/IIoT,Circular Economy,Environmental Remediation,https://rematter.com/,37.424106,-122.166076
113,Renewell Energy,"Bakersfield, CA",Bakersfield,Storage/Batteries,Built Environment/Construction,Circular Economy,https://renewellenergy.com/,35.373292,-119.018712
114,ReSource,"Oakland, CA",Oakland,Circular Economy,Materials,Carbon/CCUS,https://tomkat.stanford.edu/translation/resource,37.804351,-122.271164
115,Scope Zero,"San Francisco, CA",San Francisco,Finance,IoT/IIoT,Carbon/CCUS,https://tomkat.stanford.edu/innovation-transfer/scopezero,37.77493,-122.419416
116,SHYFT Power Solutions,"San Francisco, CA",San Francisco,IoT/IIoT,Energy Systems/Management,Energy Efficiency,https://shyftpower.com/,37.77493,-122.419416
117,SkyCool,"Mountain View, CA",Mountain View,Enabling Technologies/Components,Thermal/Geothermal,,https://www.skycoolsystems.com/,37.386052,-122.083851
118,SOURCE Climate Solutions,"Palo Alto, CA",Palo Alto,Built Environment/Construction,Energy Efficiency,,https://tomkat.stanford.edu/innovation-transfer/source-climate-solutions,37.441883,-122.14302
119,Spark Thermionics,"Berkeley, CA",Berkeley,Enabling Technologies/Components,Energy Efficiency,Utility/Grid,https://www.sparkthermionics.com/,37.871523,-122.273042
120,Tandem PV,"Los Altos, CA",Los Altos,Solar,Chemistry,Enabling Technologies/Components,https://www.tandempv.com/,37.385218,-122.11413
121,TruckLabs,"Phoenix, AZ",Phoenix,Energy Efficiency,Transportation/MaaS,,https://www.trucklabs.com/,33.448377,-112.074037
122,Twelve,"San Francisco Bay Area, CA",San Francisco Bay Area,Circular Economy,Manufacturing,Carbon/CCUS,https://www.twelve.co/,37.77493,-122.419416
123,Vellex Computing,"San Francisco, CA",San Francisco,Enabling Technologies/Components,Utility/Grid,IoT/IIoT,https://www.vellex.io/,37.77493,-122.419416
124,VERNE,"San Francisco, CA",San Francisco,Storage/Batteries,Chemistry,Enabling Technologies/Components,https://www.verneh2.com/,37.77493,-122.419416
125,WeaveGrid,"San Francisco, CA",San Francisco,IoT/IIoT,Transportation/MaaS,Utility/Grid,https://www.weavegrid.com/,37.77493,-122.419416
126,WindBorne Systems,"Palo Alto, CA",Palo Alto,Wind,IoT/IIoT,Generation/Transmission,https://windbornesystems.com/,37.441883,-122.14302
127,Working Trees,"San Francisco Bay Area, CA",San Francisco Bay Area,IoT/IIoT,Finance,Carbon/CCUS,https://www.workingtrees.com/,37.77493,-122.419416
128,XFlow,"Seattle, WA",Seattle,Wind,Generation/Transmission,,https://www.xflowenergy.com/,47.60621,-122.332071
129,Feon Energy,"Woburn, MA",Woburn,Enabling Technologies/Components,Storage/Batteries,Materials,https://www.feonenergy.com/,42.479262,-71.152276
130,Terradot,"San Francisco, CA",San Francisco,Ag/Food-tech,Carbon/CCUS,Energy Systems/Management,https://tomkat.stanford.edu/innovation-transfer/terradot,37.77493,-122.419416
131,Mawa Modular,CA,CA,Solar,Built Environment/Construction,,https://www.mawamodular.com/,36.778261,-119.417932
132,Perseus Materials,"Stanford, CA",Stanford,Wind,Manufacturing,Enabling Technologies/Components,https://tomkat.stanford.edu/innovation-transfer/perseus,37.424106,-122.166076
133,Revivo,CA,CA,IoT/IIoT,Circular Economy,,https://revivokenya.com/,36.778261,-119.417932
134,Suryodaya,CA,CA,Solar,Ag/Food-tech,,https://tomkat.stanford.edu/innovation-transfer/suryodaya,36.778261,-119.417932
135,VISDOM,CA,CA,Utility/Grid,IoT/IIoT,Energy Efficiency,https://tomkat.stanford.edu/innovation-transfer/visdom,36.778261,-119.417932
136,RockFix,CA,CA,Carbon/CCUS,Storage/Batteries,Environmental Remediation,https://rockfix.co/,36.778261,-119.417932
137,OXO,CA,CA,IoT/IIoT,Transportation/MaaS,,https://joinoxo.com/,36.778261,-119.417932
138,Yocto,"Stanford, CA",Stanford,Enabling Technologies/Components,IoT/IIoT,Environmental Remediation,https://tomkat.stanford.edu/innovation-transfer/yocto,37.424106,-122.166076
139,Terrapin Geothermics,"Edmonton, Alberta, Canada",Edmonton,Thermal/Geothermal,Energy Systems/Management,Oil and Gas,https://www.terrapingeo.com/,53.546098,-113.493727
140,Magno Motors,"Palo Alto, CA",Palo Alto,Transportation/MaaS,Enabling Technologies/Components,,https://tomkat.stanford.edu/innovation-transfer/magno-motors,37.441883,-122.14302
141,Nitricity,"San Francisco, CA",San Francisco,Environmental Remediation,Chemistry,Ag/Food-tech,https://tomkat.stanford.edu/innovation-transfer/nitricity,37.77493,-122.419416
142,WasteWizer Technologies,"Atlanta, Georgia",Atlanta,IoT/IIoT,Circular Economy,Manufacturing,https://wastewizer.com/,33.748752,-84.387684
143,Veloce Energy,"Los Angeles, CA",Los Angeles,Storage/Batteries,Built Environment/Construction,IoT/IIoT,https://www.veloceenergy.com/,34.052234,-118.243685
144,Kapacity.io,"Helsinki, Finland",Helsinki,Built Environment/Construction,Energy Efficiency,IoT/IIoT,https://kapacity.io/,60.169856,24.938379
145,Sonocharge Energy,CA,CA,Storage/Batteries,REEs,Carbon/CCUS,http://sonocharge.com/,36.778261,-119.417932
146,Citrimer,"Ann Harbor, MI",Ann Harbor,Materials,Circular Economy,Manufacturing,https://mobile.twitter.com/ZellLurie/status/1616501360006164480,42.280826,-83.743038
147,Crystal Sonic,"Phoenix, AZ",Phoenix,Manufacturing,Materials,Circular Economy,https://xtalsonic.com/,33.448377,-112.074037
148,Enkoat,"Phoenix, AZ",Phoenix,Materials,Built Environment/Construction,Thermal/Geothermal,https://enkoat.com/,33.448377,-112.074037
149,BioSqueeze Inc.,"Butte, Montana",Butte,Oil and Gas,Materials,Environmental Remediation,https://biosqueeze.com/,46.003823,-112.534778
150,Bootbox,"Boxford, Mass",Boxford,Thermal/Geothermal,Energy Efficiency,Enabling Technologies/Components,https://bootboxlabs.com/,42.66116,-70.996726
151,Clenersys,"Westwood, Mass",Westwood,Hydrogen,Enabling Technologies/Components,,https://clenersys.com/,42.213987,-71.224499
152,OCOChem,"Richland, WA",Richland,Carbon/CCUS,Water/Wave/Hydro,Hydrogen,https://ocochem.com/,46.28042,-119.2752
153,rStream,"Boston, Mass",Boston,IoT/IIoT,Environmental Remediation,Circular Economy,https://www.rstreamrecycling.com/,42.360082,-71.05888
154,Sol Clarity,"Somerville, Mass",Somerville,Solar,Environmental Remediation,Enabling Technologies/Components,https://www.solclarityeds.com/,42.387597,-71.099497
155,Dimensional Energy,"Ithaca, NY",Ithaca,Transportation/MaaS,Biofuels/Bioeconomy,Carbon/CCUS,https://www.dimensionalenergy.com/,42.443961,-76.501881
156,Matrix Sensors,"San Diego, CA",San Diego,Enabling Technologies/Components,Carbon/CCUS,Environmental Remediation,https://www.matrixsensorsinc.com/,32.715738,-117.161084
157,PingThings,"Washington, DC",Washington,IoT/IIoT,Utility/Grid,Professional Services,http://pingthings.io,38.907192,-77.036871
158,Broadbit Batteries,"Helsinki, Finland",Helsinki,Storage/Batteries,Chemistry,,https://www.broadbit.com/,60.169856,24.938379
159,Geyser Batteries,"Mikkeli, Finland",Mikkeli,Storage/Batteries,Enabling Technologies/Components,,https://www.geyserbatteries.com/,61.688727,27.272146
160,CarbonCents,"Columbia, South Carolina",Columbia,IoT/IIoT,Energy Efficiency,Professional Services,https://www.carboncents.com/,34.00071,-81.034814
161,Blaze Energy,"Denver, Colorado",Denver,Hydrogen,Enabling Technologies/Components,Generation/Transmission,https://blazeenergytech.com/,39.739236,-104.990251
162,Access Sensor,"Fort Collins, Colorado",Fort Collins,Enabling Technologies/Components,Environmental Remediation,,https://www.accsensors.com/,40.58526,-105.084423
163,Atmos Zero,"Fort Collins, Colorado",Fort Collins,Generation/Transmission,Thermal/Geothermal,Enabling Technologies/Components,http://atmoszero.energy/,40.58526,-105.084423
164,Curable Composites,"Fort Collins, Colorado",Fort Collins,Materials,,,https://www.curablecomposites.com/about,40.58526,-105.084423
165,Changing Room,"New York City, NY",New York City,IoT/IIoT,Circular Economy,Materials,https://www.changingroom.eco/,40.712775,-74.005973
166,Columbia Power Technologies,"Charlottesville, VA",Charlottesville,Water/Wave/Hydro,IoT/IIoT,,https://cpower.co/,38.029306,-78.476678
167,Greenore,"New York City, NY",New York City,Carbon/CCUS,Built Environment/Construction,Circular Economy,https://www.greenore.com/,40.712775,-74.005973
168,Amperon,"Houston, Texas",Houston,IoT/IIoT,Utility/Grid,Generation/Transmission,https://amperon.co/,29.760427,-95.369803
169,Conamix,"Ithaca, NY",Ithaca,Chemistry,Storage/Batteries,Materials,https://www.conamix.com/#5,42.443961,-76.501881
170,Diverso Energy,"Toronto, Canada",Toronto,Thermal/Geothermal,Utility/Grid,Energy Systems/Management,https://www.diversoenergy.com/,43.653226,-79.383184
171,Ecolectro,"Ithaca, NY",Ithaca,Hydrogen,Enabling Technologies/Components,,https://www.ecolectro.com/,42.443961,-76.501881
172,LimeLoop,"San Francisco, CA",San Francisco,IoT/IIoT,Circular Economy,Materials,https://thelimeloop.com/,37.77493,-122.419416
173,Ninedot Energy,"Brooklyn, NY",Brooklyn,Utility/Grid,Energy Systems/Management,Storage/Batteries,https://www.nine.energy/,40.678178,-73.944158
174,Setpoint,Israel,Israel,IoT/IIoT,Enabling Technologies/Components,Energy Efficiency,https://www.setpoint.ai/,31.046051,34.851612
175,Shifted Energy,"Honolulu, Hawaii",Honolulu,IoT/IIoT,Energy Systems/Management,Utility/Grid,https://www.shiftedenergy.com/,21.309884,-157.85814
176,simuwatt,"Denver, Colorado",Denver,IoT/IIoT,Energy Efficiency,Built Environment/Construction,https://buildee.com/,39.739236,-104.990251
177,SMPnet,"London, UK",London,IoT/IIoT,Energy Systems/Management,,https://smpnetworks.com/,51.507218,-0.127586
178,Soteria BIG,"Greenville, SC",Greenville,Storage/Batteries,Media/Assoc,Professional Services,https://www.soteriabig.com/,34.852618,-82.39401
179,SWTCH,"Toronto, Canada",Toronto,Storage/Batteries,Transportation/MaaS,Built Environment/Construction,https://swtchenergy.com/,43.653226,-79.383184
180,Sylvera,"London, UK",London,Carbon/CCUS,Evaluation/Compliance,IoT/IIoT,https://www.sylvera.com/,51.507218,-0.127586
181,Teknobuilt,"Calgary, Canada",Calgary,IoT/IIoT,Built Environment/Construction,,https://www.teknobuilt.com/,51.044733,-114.071883
182,Resonant Link,"Burlington, Vermont",Burlington,Generation/Transmission,IoT/IIoT,Power Electronics,https://www.resonant-link.com/,44.475882,-73.212072
183,Polar Night Energy,"Tampere, Finland",Tampere,Thermal/Geothermal,Storage/Batteries,Energy Systems/Management,https://polarnightenergy.fi/,61.497752,23.760954
184,374Water,"Durham, NC",Durham,Water/Wave/Hydro,Environmental Remediation,Materials,https://374water.com/,35.994033,-78.898619
