idx,company,website,tax1,tax2,tax3,city,notes,address,lat,lng
35,Dencam Composite,https://dencam.com,Wind,Manufacturing,,Faaborg,Supplier of sustainable tooling solutions,"Mørkebjergvej 6, Faaborg 5600",55.1121,10.21727
36,Tuco Marine Group,https://tuco.dk,Manufacturing,Mobility as a Service,Professional Services,Faaborg,Carbon fibre for light structures,"Krogsbjergvej 1, Faaborg 5600",55.11233,10.21945
37,SSP Technology,https://ssptech.com,Wind,Architecture/Design,Engineering,Stenstrup,Rotor blade technology,"Gemalvej 15a, Stenstrup 5771",55.1187,10.53017
38,El-huset Skærbæk,https://el-huset.net/,Energy Efficiency,Solar,Thermal Energy,Skærbæk,,"Storegade 31, Skærbæk 6780",55.15753,8.76411
39,NOVENCO Building & Industry,https://novenco-building.com,Built Environment/Construction,Energy Efficiency,,Næstved,Ventilation products,"Industrivej 22, Næstved 4700",55.2017,11.74564
40,NVD,https://nvdenergi.dk/,Energy Efficiency,Built Environment/Construction,,Næstved,,"Dådebyggervej 10, Næstved 4700",55.21535,11.7349
41,KYOCERA Finceramics Nordics,http://kyocera-solutions.se/dk,Enabling Technologies/Components,Engineering,,Næstved,Wind Energy,"Axeltorv 12, Næstved 4700",55.23115,11.75807
42,PP Techniq,https://pptechniq.com,Wind,Enabling Technologies/Components,,Vojens,Wind turbine blade maintenance,"Aage Grams Vej 1, Vojens 6500",55.24218,9.298522
43,Provas,https://provas.dk,Circular Economy,,,Haderslev,Water and waste,"Fjordagervej 32, Haderslev 6100",55.24895,9.505724
44,Aluwind,https://aluwind.com,Wind,Manufacturing,Enabling Technologies/Components,Ringe,Wind turbine components and structures,"Kielbergvej 7, Ringe 5750",55.25157,10.47817
45,Panticon,https://re-sols.com,Wind,Consulting,Professional Services,Faxe,Transport and logistic consultancy,"Vivede Møllehuse 15, Faxe 4640",55.25442,12.16145
46,BROEN District Energy,https://broen.com,Enabling Technologies/Components,Energy Systems/Management,,Assens,District energy grid components,"Skovvej 30, Assens 5610",55.25972,9.906234
